title,selling_price,MRP,discount,rating,availability,url,scrape_datetime
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),299,999.00,70,4.1,Available,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_1?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-1,2024-02-03 00:00:00
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue) (Green)",159,399.00,60,3.5,Available,https://www.amazon.in/ZEBRONICS-Zeb-Bro-Earphones-Compatible-Green/dp/B09R24JBYV/ref=sr_1_2?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-2,2023-10-08 00:00:00
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Black)",599,1299.00,54,4.1,Available,https://www.amazon.in/JBL-C100SI-Ear-Headphones-Black/dp/B01DEWVZ2C/ref=sr_1_3?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-3,2023-09-23 00:00:00
"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 min=200 min), 13mm Driver,Low Latency, BT v5.2 (Mint Green)",1199,3499.00,66,3.8,Available,https://aax-eu.amazon.in/x/c/JBFrBVFJLd1k13cBYcYGqSYAAAGUt8brfAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICB02wlL/clv1_CEuOPUxokZA0iHrVd9g27R_tQ2wgbYYFuIgp9SyF_vtXx38AqgSOXvw18HHz9hvVjq0yzpNb3X7OfU30A3tTOFNNChySCpHML3EBeW9xW1SoBKRzxYgc6JJGZxuDym4Lsub01JYSHgvXMTKTc91-7bRgf9r5sGv0apEJQ9p8WgnNl6TP0wh_BAL6bM-vPLFsHH4HbZmFzptYR2t3PNIRZPsQh9Kumt1TSBDYL7UlzhESrMBvm7fmTUcsgxvigUBeAnGoOOGLoxR1yAlDdY1eRiSPc2OsnheLHsiEzPLCcM4TMlyty6ezwyq5PTDbH4Z5qYHSkpsaNfrXuov2LOe_IMRc2_9cBmzwwcR5s5EBvreRYgKDrIKDx1fH510/https://www.amazon.in/Noise-Bluetooth-Wireless-30-Hours-Instacharge/dp/B09Y5MK1KB/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&crid=23H19CC51YB96&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B09Y5MK1KB&pd_rd_r=435b30d0-d106-469d-a966-c89653d937fa&pd_rd_w=t3TkI&pd_rd_wg=09nHR&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=0Z3G5R43HTH2X7VVFFW1&qid=1738250054&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,2023-01-01 00:00:00
"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 min=200 min), 13mm Driver,Low Latency, BT v5.2 (Mint Green)",1199,3499.00,66,3.8,Available,https://aax-eu.amazon.in/x/c/JBFrBVFJLd1k13cBYcYGqSYAAAGUt8brfAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICB02wlL/clv1_CEuOPUxokZA0iHrVd9g27R_tQ2wgbYYFuIgp9SyF_vtXx38AqgSOXvw18HHz9hvVjq0yzpNb3X7OfU30A3tTOFNNChySCpHML3EBeW9xW1SoBKRzxYgc6JJGZxuDym4Lsub01JYSHgvXMTKTc91-7bRgf9r5sGv0apEJQ9p8WgnNl6TP0wh_BAL6bM-vPLFsHH4HbZmFzptYR2t3PNIRZPsQh9Kumt1TSBDYL7UlzhESrMBvm7fmTUcsgxvigUBeAnGoOOGLoxR1yAlDdY1eRiSPc2OsnheLHsiEzPLCcM4TMlyty6ezwyq5PTDbH4Z5qYHSkpsaNfrXuov2LOe_IMRc2_9cBmzwwcR5s5EBvreRYgKDrIKDx1fH510/https://www.amazon.in/Noise-Bluetooth-Wireless-30-Hours-Instacharge/dp/B09Y5MK1KB/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&crid=23H19CC51YB96&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B09Y5MK1KB&pd_rd_r=435b30d0-d106-469d-a966-c89653d937fa&pd_rd_w=t3TkI&pd_rd_wg=09nHR&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=0Z3G5R43HTH2X7VVFFW1&qid=1738250054&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,2024-02-22 00:00:00
boAt bassheads 105 Wired in Ear Earphones with Mic (Green),399,999.00,60,4.0,Available,https://www.amazon.in/boAt-Bassheads-105-Headset-Iguana/dp/B08YYSX5XX/ref=sr_1_4?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-4,2023-05-29 00:00:00
"Ambrane Wired in Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass™, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Black)",179,449.00,60,3.8,Available,https://www.amazon.in/Ambrane-BoostedBassTM-Multi-Functional-Stringz-Lite/dp/B0BM3DNBS8/ref=sr_1_5?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-5,2023-08-21 00:00:00
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue) (Black)",159,299.00,47,3.5,Available,https://www.amazon.in/Zebronics-Zeb-Bro-Wired-Earphone/dp/B07T5DKR5D/ref=sr_1_6?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-6,2023-12-27 00:00:00
boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),449,1490.00,70,4.1,Available,https://www.amazon.in/Boat-Bassheads-242-Earphones-Resistance/dp/B07S9S86BF/ref=sr_1_7?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-7,2023-05-16 00:00:00
"boAt Airdopes 91 Prime, 45HRS Battery, 13mm Drivers, Metallic Finish, Low Latency,ENx Tech, Fast Charge, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Midnight Black)",799,3990.00,80,3.2,Available,https://www.amazon.in/boAt-Airdopes-91-Prime-Bluetooth/dp/B0DPWL48Z5/ref=sr_1_8?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRD3Nxrw9pM2KYS5ccFdqsBcBELzR3Nkui7oqAHUB3Dq8MfQlOgAZBtPSf_uJ8yyuHxQEvLdw-_iWph_1638_2rLlXSjGD7g_cUQcFz2zkahZqHM3ibGs_i-yrKLgrgk97xFZhy0jzlgaeyJF6hPYT_I.1DSjwT1NAJUOolyvK7VSf-AcT4rZ0j34mXafYInk82A&dib_tag=se&keywords=earphones&qid=1738250054&sr=8-8,2023-06-16 00:00:00
